mol,Cmpd Name,AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1cccc2,JSF-3131,15052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc(Cl)c1,JSF-3266,33043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(OC)c2,JSF-3263,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(Cl)c2,JSF-3269,75175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc2c(Cl)c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)[nH]c2cc1,JSF-3271,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2[nH]c3c(c2)cc(-c2ccccc2)cc3)cc1,JSF-3347,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(Oc2cc3c([nH]c(C(=O)NNC(=O)c4oc([N+](=O)[O-])cc4)c3)cc2)cc1,JSF-3346,12810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCCF,JSF-3242,12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCC(F)(F)F,JSF-3243,4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2n(-c3ccccc3)c3c(c2)cccc3)cc1,JSF-3247,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NC3CCCC3)nc(N3CCOCC3)n2)cc1,JSF-3249,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2cc3c(cc2)cccc3)cc1,JSF-2717,6452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2oc3c(c2)cccc3)cc1,JSF-2826,2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2cc3c(cc(OC)cc3)cc2)cc1,JSF-2904,3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2ccc(COc3ccc(OCC)cc3)cc2)cc1,JSF-2718,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)OCC)[nH]c2cc1)CCCC,JSF-2948,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)OCC)[nH]c2cc1)CCCCC,JSF-2959,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N)[nH]c2cc1)CCCC,JSF-2985,7884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C#N)[nH]c2cc1)CCCC,JSF-3005,21511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1cc2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc1,JSF-4035,4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c2sc(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)cc2cc(Cl)c1,JSF-4061,43466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)[nH]c2c1cc(C(F)(F)F)cc2,JSF-4066,60456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1scc(-c2ncccc2)n1)Cc1c(C)cccc1,JSF-3204,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cc2c([nH]c(C(=O)N3CCN(Cc4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3546,6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc2c([nH]c(C(=O)N3CCN(Cc4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3638,26110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)N2CCN(Cc3oc([N+](=O)[O-])cc3)CC2)[nH]c2c1cc(OC(F)(F)F)cc2,JSF-3639,13374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(C(NC(=O)c2oc([N+](=O)[O-])cc2)(C)C)cc1,JSF-3095,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NCC(C)C)nc(N3CCOCC3)n2)cc1,JSF-2595,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C(C)C)C)nc(N3CCOCC3)n2)cc1,JSF-2683,6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C)C3CC3)nc(N3CCOCC3)n2)cc1,JSF-2684,8747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C)C3CCC3)nc(N3CCOCC3)n2)cc1,JSF-2685,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)NC)[nH]c2cc1)CCCC,JSF-3100,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)NCc3ccccc3)[nH]c2cc1)CCCC,JSF-3101,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NC3(C)CC3)nc(N3C[C@@H](C)O[C@@H](C)C3)n2)cc1,JSF-3135,3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NC3(C)CC3)nc(N3C[C@H](C)O[C@@H](C)C3)n2)cc1,JSF-3139,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2[nH]c3c(c2)cccc3)cc1,JSF-2938,11518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CCN(C(=O)c3cc4c(cc3)cccc4)CC2)cc1,JSF-3166,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2n(C)c3c(c2)cccc3)cc1,JSF-3188,4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CCC3)[nH]c2cc1)CCCC,JSF-3310,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C#N)[nH]c2cc1)CCCCC,JSF-3341,15624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1scc(-c2c3c([nH]c2)cccc3)n1)Cc1ccc(C)cc1,JSF-3137,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc(-c2nc(NC(=O)Cc3ccc(C)cc3)sc2)ccc1,JSF-3199,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2[nH]c3c(c2)cc(Oc2ccccc2)cc3)cc1,JSF-3345,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(-c2cc3c([nH]c(C(=O)NNC(=O)c4oc([N+](=O)[O-])cc4)c3)cc2)cc1,JSF-3348,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cc2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc1,JSF-3172,22446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1c(OCc2ccc(C(NC(=O)c3oc([N+](=O)[O-])cc3)(C)C)cc2)cccc1,JSF-4102,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(OCc2ccc(C(NC(=O)c3oc([N+](=O)[O-])cc3)(C)C)cc2)cccc1,JSF-4104,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CCN(C(=O)c3ccc(N4CCOCC4)cc3)CC2)cc1,JSF-3905,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CCN(C(=O)c3ccc(N4CC[N+H](C)CC4)cc3)CC2)cc1,JSF-3906,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NC2CN(C(=O)c3[nH]c4c(c3)cccc4)CC2)cc1,JSF-3623,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CC(NC(=O)c3[nH]c4c(c3)cccc4)C2)cc1,JSF-3624,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CC(NC(=O)c3[nH]c4c(c3)cccc4)CC2)cc1,JSF-3628,5458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ncccc1)c1ncc(CCCC)cc1,JSF-2967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)nsc2cc1)CCCCC,JSF-3057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nc(C)ccc1)c1ncc(CCCC)cc1,JSF-3077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1oc2c(n1)cccc2)c1ncc(CCCC)cc1,JSF-4001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NC(C)(C)c2sc3c(c2)cccc3)cc1,JSF-4008,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CC3(C2)CN(c2nc(Nc4ccccc4)nc(N4CCOCC4)n2)C3)cc1,JSF-4034,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(OCc2ccc(C(NC(=O)c3oc([N+](=O)[O-])cc3)(C)C)cc2)cc1,JSF-4048,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)-c2ccc(OC)cc2)ccc(F)c1,JSF-2911,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(F)cc2)-c2ccc(F)cc2)ccc(F)c1,JSF-3295,2668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
