mol,Cmpd Name,AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1ccc(OCc2ccc(C(=O)N3CCN(C(=O)c4oc([N+](=O)[O-])cc4)CC3)cc2)cc1,JSF-3359,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)nc(NC3(C)CC3)c2)cc1,JSF-3467,5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N2CCN(C(=O)c3ccc(COc4ccc(OCC)cc4)cc3)CC2)cc1,JSF-3367,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2sc3c(c2)cccc3)cc1,JSF-2827,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1n[nH]c2c1cc(NS(=O)(=O)CCCC(F)(F)F)cc2,JSF-3479,21989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)nc3n(C4CCC4)ccc23)cc1,JSF-3707,5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)c3c(n(-c4ccccc4)cc3)n2)cc1,JSF-3717,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)c3c([nH]c(C)c3)n2)cc1,JSF-3856,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NC(C)(C)c2cc3c(cc2)cccc3)cc1,JSF-3497,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(Oc2ccc(CNC(=O)c3oc([N+](=O)[O-])cc3)cc2)cc1,JSF-3583,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc2c([nH]c(C(=O)NC3CN(C(=O)c4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3983,10922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)cc1,JSF-2019,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NC(C)C)nc(NC(C)C)n2)cc1,JSF-2032,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N/N=C/2\N=C(Nc3ccccc3)NC(Nc3ccccc3)=N\2)cc1,JSF-2111,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N/N=C/2\N=C(NC(C)C)NC(NC(C)C)=N\2)cc1,JSF-2144,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N/N=C/2\N=C(N3CCOCC3)NC(N3CCOCC3)=N\2)cc1,JSF-2249,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)N/N=C/2\N=C(Nc3ccccc3)NC(N3CCOCC3)=N\2)cc1,JSF-2252,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc1,JSF-3127,6976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(N3CCC(C)CC3)c(OC)cc2)ccc(F)c1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(N3CCC(F)CC3)c(OC)cc2)ccc(F)c1,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(N3CCSCC3)c(OC)cc2)ccc(F)c1,,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cc2oc(N3CCN(Cc4cnc(SCC)nc4)CC3)nc2cc1,,41675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(CC)c1ncc(CN2CCN(c3oc4c(n3)cc(F)c(F)c4)CC2)cn1,,29700.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(CC)c1ncc(CN2CCN(c3oc4c(n3)cc(C(F)(F)F)cc4)CC2)cn1,,27456.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(CC)c1ncc(CN2CCN(c3oc4c(n3)ccc(C)c4)CC2)cn1,,16269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(CC)c1ncc(CN2CCN(c3oc4c(n3)cc(OC)cc4)CC2)cn1,,7970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCCCC2)ccc(F)c1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2CCCCC2)ccc(F)c1,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NNC(=O)c1cc2c(cc1)cccc2)c1nccnc1,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ncccc1)c1nccnc1,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nccc2c1cccc2)c1nccnc1,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ncc(C)cc1)c1nccnc1,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nccc(C)c1)c1nccnc1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1sc2c(n1)cccc2)c1nccnc1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1oc2c(n1)cccc2)c1nccnc1,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c2c(ccnc2)ccc1)c1nccnc1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c2c(cnc1)cccc2)c1nccnc1,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c2c(nccc2)ccc1)c1nccnc1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c2c(cnnc2)ccc1)c1nccnc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c2c(ncc1)cccc2)c1nccnc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C=NNc2nc(N3CCOCC3)c3c(n(C4CC4)cc3)n2)cc1,,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CCCC3)[nH]c2cc1)CCCC,3478,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(CN2C(=O)C(C(=O)O)=CC=C2)c2c3c([nH]c2)cccc3)cccc1,4439,5441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NC)CC2)ccc(F)c1,4536,9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(OC)CC2)ccc(F)c1,4546,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(CCC)N1Cc2c(C)n[nH]c2CC1,4556,27429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2nccnc2)[nH]c2c1cc(OC(F)(F)F)cc2,4561,15838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(CCCC)N1Cc2c(C)n[nH]c2CC1,4616,3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC(c4ccccc4)C3)[nH]c2cc1)CCCC,4623,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC4(C3)COC4)[nH]c2cc1)CCCC,4624,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC4(COC4)CC3)[nH]c2cc1)CCCC,4626,3436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4627,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC4(C3)CCCCC4)[nH]c2cc1)CCCC,4651,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCc3ccccc3)CC2)ccc(F)c1,4652,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC(=C)C3)[nH]c2cc1)CCCC,4655,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC(F)CC3)[nH]c2cc1)CCCC,4656,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCCCC)CC2)ccc(F)c1,4663,3656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCCO)CC2)ccc(F)c1,4668,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NC3CC3)CC2)ccc(F)c1,4669,9360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCC)CC2)ccc(F)c1,4674,8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(F)cc2)C2=CCC(C(=O)NC)CC2)ccc(F)c1,4694,5967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(F)cc2)C2=CCC(C(=O)NCCO)CC2)ccc(F)c1,4696,6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N3CC4(C3)CCSCC4)[nH]c2cc1)CCCC,4700,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1nc2[nH]ncc2cn1)CCCCF,4710,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCCC)CC2)ccc(F)c1,4715,4559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCCOCc3ccccc3)CC2)ccc(F)c1,4784,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)Nc2cc(c(OC)cc2)C2=CCC(C(=O)NCCOC)CC2)ccc(F)c1,4785,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,